item	sentence	itemType	audio	t1choice1	t1choice2	t2dialog	t2choice1	t2choice2
sonnet	He wrote a sonnet	presentabsent	sonnet_absent_high.mp3	What did John do?	What did John write?	"John is taking an English class. For his final project, he could write a sonnet or a short story, or analyze a play."	"Oh, you're surprised that he wrote a sonnet, and didn't analyze a play?"	"Oh, you're surprised that he wrote a sonnet, and not a short story?"
sonnet	He wrote a sonnet	presentabsent	sonnet_absent_extrahigh.mp3	What did John do?	What did John write?	"John is taking an English class. For his final project, he could write a sonnet or a short story, or analyze a play."	"Oh, you're surprised that he wrote a sonnet, and didn't analyze a play?"	"Oh, you're surprised that he wrote a sonnet, and not a short story?"
sonnet	He wrote a sonnet	presentabsent	sonnet_present_high.mp3	What did John do?	What did John write?	"John is taking an English class. For his final project, he could write a sonnet or a short story, or analyze a play."	"Oh, you're surprised that he wrote a sonnet, and didn't analyze a play?"	"Oh, you're surprised that he wrote a sonnet, and not a short story?"
sonnet	He wrote a sonnet	presentabsent	sonnet_present_extrahigh.mp3	What did John do?	What did John write?	"John is taking an English class. For his final project, he could write a sonnet or a short story, or analyze a play."	"Oh, you're surprised that he wrote a sonnet, and didn't analyze a play?"	"Oh, you're surprised that he wrote a sonnet, and not a short story?"
candle	She bought a candle	presentabsent	candle_absent_high.mp3	What did Anna do?	What did Anna buy?	"Anna wants to give her mother a birthday gift. She could buy a candle or a mug, or make a bracelet."	"Oh, you're surprised that she bought a candle, and didn't make a bracelet?"	"Oh, you're surprised that she bought a candle, and not a mug?"
candle	She bought a candle	presentabsent	candle_absent_extrahigh.mp3	What did Anna do?	What did Anna buy?	"Anna wants to give her mother a birthday gift. She could buy a candle or a mug, or make a bracelet."	"Oh, you're surprised that she bought a candle, and didn't make a bracelet?"	"Oh, you're surprised that she bought a candle, and not a mug?"
candle	She bought a candle	presentabsent	candle_present_high.mp3	What did Anna do?	What did Anna buy?	"Anna wants to give her mother a birthday gift. She could buy a candle or a mug, or make a bracelet."	"Oh, you're surprised that she bought a candle, and didn't make a bracelet?"	"Oh, you're surprised that she bought a candle, and not a mug?"
candle	She bought a candle	presentabsent	candle_present_extrahigh.mp3	What did Anna do?	What did Anna buy?	"Anna wants to give her mother a birthday gift. She could buy a candle or a mug, or make a bracelet."	"Oh, you're surprised that she bought a candle, and didn't make a bracelet?"	"Oh, you're surprised that she bought a candle, and not a mug?"
flower	He drew a flower	presentabsent	flower_absent_high.mp3	What did Dennis do?	What did Dennis draw?	"Dennis is taking an art class. In the studio, he could draw a tree or a flower, or sculpt an apple."	"Oh, you're surprised that he drew a flower, and didn't sculpt an apple?"	"Oh, you're surprised that he drew a flower, and not a tree?"
flower	He drew a flower	presentabsent	flower_absent_extrahigh.mp3	What did Dennis do?	What did Dennis draw?	"Dennis is taking an art class. In the studio, he could draw a tree or a flower, or sculpt an apple."	"Oh, you're surprised that he drew a flower, and didn't sculpt an apple?"	"Oh, you're surprised that he drew a flower, and not a tree?"
flower	He drew a flower	presentabsent	flower_present_high.mp3	What did Dennis do?	What did Dennis draw?	"Dennis is taking an art class. In the studio, he could draw a tree or a flower, or sculpt an apple."	"Oh, you're surprised that he drew a flower, and didn't sculpt an apple?"	"Oh, you're surprised that he drew a flower, and not a tree?"
flower	He drew a flower	presentabsent	flower_present_extrahigh.mp3	What did Dennis do?	What did Dennis draw?	"Dennis is taking an art class. In the studio, he could draw a tree or a flower, or sculpt an apple."	"Oh, you're surprised that he drew a flower, and didn't sculpt an apple?"	"Oh, you're surprised that he drew a flower, and not a tree?"
dragon	He fought a dragon	presentabsent	dragon_absent_high.mp3	What did Nick do?	What did Nick fight?	"Nick is playing a video game. On his next turn, he could fight a knight or a dragon, or loot the ruins."	"Oh, you're surprised that he fought a dragon, and didn't loot the ruins?"	"Oh, you're surprised that he fought a dragon, and not a knight?"
dragon	He fought a dragon	presentabsent	dragon_absent_extrahigh.mp3	What did Nick do?	What did Nick fight?	"Nick is playing a video game. On his next turn, he could fight a knight or a dragon, or loot the ruins."	"Oh, you're surprised that he fought a dragon, and didn't loot the ruins?"	"Oh, you're surprised that he fought a dragon, and not a knight?"
